Timeline,Error_X,Error_Y,Error_Z,PID_X,PID_Y,PID_Z
12.981444120407104,-1.092939060064759,0.2185878120129518,-1.4778221286426927,-13,-13,13
13.034225225448608,-0.8135054502905292,-0.16270109005810587,-1.0129087717896965,-13,13,-13
13.078389644622803,-0.5875808595614993,-0.10683288355663624,-0.0934970006078828,-13,13,-13
13.158629894256592,-0.21439579088313748,1.447171588461178,-0.29881618588241565,-13,-13,13
13.183682918548584,0.21813013382795232,1.6905085371666304,-1.3491001391115915,-13,-13,13
13.283624172210693,1.7356390110663735,4.067903932186813,-1.0185589828021975,-13.217257129640725,-18.943969985323797,13
13.530500411987305,3.028946662069931,-0.43270666600999014,-0.8493749076548625,-13,19.347270921208903,13
13.580461263656616,2.984281589187143,-0.7993611399608419,0.04791450293686239,-13,13,-13
13.683814764022827,2.699736637894367,-1.482208350216515,0.4469859288007285,-13,13,-13
13.935971975326538,1.4732431475814676,3.840955349051683,0.807194963244612,13,-16.76261529652525,13
13.9854257106781,1.175028167304022,4.326240070528445,-0.08666764622839906,13,-13,13
14.0829176902771,0.9440400502137953,4.071172716546992,-6.377816030657485,13,13,13
14.34107518196106,-2.1591868447183216,-0.7017357245334546,-0.7271300077027973,13,19.64313815487343,-13
14.379023313522339,-2.351728355748202,-0.7482772041017007,-0.12941818674380556,13,13,-13
14.435224771499634,-2.3135201765661426,-0.3766195636270464,-0.528144154346748,13,13,13
14.559712409973145,-2.310059844943147,0.8595571516067522,-0.43761222234976316,13,-13,13
14.588541746139526,-2.3034721198599475,3.481992739323176,-0.26525894982420084,13,-68.76128055468864,-13
14.638669729232788,-2.264542196663085,2.3723775393613264,-0.657380267761198,13,17.69824502413176,13
14.681547403335571,-2.1660688119386244,1.678703329252434,-0.9206853357738183,13,14.252514419620933,13
14.743616819381714,-2.0301522303845125,1.389051526052561,-0.10319103112043848,13,13,-13
14.786937952041626,-1.6797371355886208,2.1674027555982205,-0.9582025011999491,-13,-13,13
14.839094877243042,-1.442685042238874,1.656416159607596,-0.111876759953077,-13,13,-13
14.943226099014282,-0.9239949228376948,2.989395338592542,-1.146722834847452,-13,-13,13
15.236412525177002,1.5041543392508614,1.3967147435900857,-0.4347725591863991,-13,13,13
15.282408952713013,1.502092121998652,0.6973999137850885,-0.3519156160172727,-13,14.738898694156516,13
15.331249952316284,1.2073820973487401,0.4724538641799419,0.9432669775072711,13,13,-13
15.384219884872437,0.8553815288823454,1.1226882566580783,-0.14401374953990853,13,-13,13
15.434062719345093,0.5869275813634289,0.6402846342146498,-0.026684457623417757,13,13,13
15.490787744522095,0.4777086536217618,0.5307873929130686,0.2864182972797735,13,13,-13
15.557649374008179,-0.2588610228756039,2.0191159784297104,1.7562698529891279,13,-15.411198523586533,-13
15.591201782226562,-0.5758423421815458,2.0416228495527533,1.1070331859782598,13,13,13
15.691866636276245,-1.1651546985762913,4.554695639889139,0.4182256409851064,13,-21.375005976467268,13
15.736682891845703,-1.283780638806064,4.172287076119707,-0.1772174440342411,13,13,13
15.7794828414917,-1.500374740159559,3.590182413953231,-0.2829136671251433,13,13,13
15.835938692092896,-1.5050230362431805,3.010046072486361,-0.46967556334207217,13,13,13
15.891608953475952,-1.5495275221265168,2.6715991760802016,-0.11098146180452773,13,13,-13
15.935943841934204,-1.6415549609657223,2.5947159060425937,0.4274409326955606,13,13,-13
15.99719762802124,-1.6528785467822127,2.719251802770737,0.016504350645504928,13,-13,13
16.120264768600464,-1.614637210668616,3.229274421337232,3.2354105624314684,13,-13,-13
16.19174337387085,-0.9097165446922222,5.618837481922549,-0.201830163455881,-13,-29.75549502945358,13
16.236713886260986,-0.672179086632282,5.067196191535666,1.830655964514051,-13,13,-13
16.304964780807495,-0.3188780192267153,6.749584740298808,0.21037139499087942,-13,-25.038445491466888,13
16.593254804611206,2.7350370345524455,4.236625994698886,-0.33169929159805633,-13,13,13
